1.6090E+00,  6.0639E+06,  0.0000E+00
  1.6270E+00,  6.0639E+06,  0.0000E+00
  1.6452E+00,  6.0639E+06,  0.0000E+00
  1.6636E+00,  6.0639E+06,  0.0000E+00
  1.6823E+00,  6.0639E+06,  0.0000E+00
  1.7011E+00,  6.0639E+06,  0.0000E+00
  1.7202E+00,  6.0639E+06,  0.0000E+00
  1.7394E+00,  6.0639E+06,  0.0000E+00
  1.7589E+00,  6.0639E+06,  0.0000E+00
  1.7786E+00,  6.0639E+06,  0.0000E+00
  1.7985E+00,  6.0639E+06,  0.0000E+00
  1.8187E+00,  6.0639E+06,  0.0000E+00
  1.8390E+00,  6.0639E+06,  0.0000E+00
  1.8596E+00,  6.0639E+06,  0.0000E+00
  1.8805E+00,  6.0639E+06,  0.0000E+00
  1.9015E+00,  6.0639E+06,  0.0000E+00
  1.9228E+00,  6.0639E+06,  0.0000E+00
  1.9444E+00,  6.0639E+06,  0.0000E+00
  1.9661E+00,  6.0639E+06,  0.0000E+00
  1.9882E+00,  6.0639E+06,  0.0000E+00
  2.0104E+00,  6.0639E+06,  0.0000E+00
  2.0330E+00,  6.0639E+06,  0.0000E+00
  2.0557E+00,  6.0639E+06,  0.0000E+00
  2.0788E+00,  6.0639E+06,  0.0000E+00
  2.1020E+00,  6.0639E+06,  0.0000E+00
  2.1256E+00,  6.0639E+06,  0.0000E+00
  2.1494E+00,  6.0639E+06,  0.0000E+00
  2.1735E+00,  6.0639E+06,  0.0000E+00
  2.1978E+00,  6.0639E+06,  0.0000E+00
  2.2224E+00,  6.0639E+06,  0.0000E+00
  2.2473E+00,  6.0639E+06,  1.0885E+04
  2.2725E+00,  6.0637E+06,  1.5282E+04
  2.2979E+00,  6.0633E+06,  1.5282E+04
  2.3237E+00,  6.0629E+06,  1.5282E+04
  2.3497E+00,  6.0625E+06,  2.0586E+04
  2.3760E+00,  6.0620E+06,  3.9267E+04
  2.4026E+00,  6.0609E+06,  3.9267E+04
  2.4295E+00,  6.0599E+06,  3.9267E+04
  2.4568E+00,  6.0588E+06,  3.9267E+04
  2.4843E+00,  6.0577E+06,  3.7127E+04
  2.5121E+00,  6.0567E+06,  3.6998E+04
  2.5402E+00,  6.0557E+06,  3.6998E+04
  2.5687E+00,  6.0546E+06,  3.6998E+04
  2.5975E+00,  6.0536E+06,  3.6998E+04
  2.6265E+00,  6.0525E+06,  3.6998E+04
  2.6560E+00,  6.0514E+06,  3.9748E+04
  2.6857E+00,  6.0502E+06,  5.4091E+04
  2.7158E+00,  6.0486E+06,  5.4091E+04
  2.7462E+00,  6.0470E+06,  5.4091E+04
  2.7770E+00,  6.0453E+06,  5.6717E+04
  2.8081E+00,  6.0436E+06,  6.2182E+04
  2.8395E+00,  6.0416E+06,  6.2182E+04
  2.8713E+00,  6.0397E+06,  6.2182E+04
  2.9035E+00,  6.0377E+06,  6.2182E+04
  2.9360E+00,  6.0357E+06,  6.2182E+04
  2.9689E+00,  6.0336E+06,  6.2801E+04
  3.0022E+00,  6.0315E+06,  7.6472E+04
  3.0358E+00,  6.0290E+06,  7.6472E+04
  3.0698E+00,  6.0264E+06,  7.6472E+04
  3.1042E+00,  6.0238E+06,  7.6472E+04
